Feedback_ID,Date,Quarter,Client_Company,Industry,Region,Project_Type,Project_Manager,Project_Duration_Months,Contract_Value_INR,Client_Feedback,Star_Rating,NPS_Score,NPS_Category,SLA_Breached,Contract_Renewal
FB10811,2022-01-02,Q1-2022,AirExpress,Aviation,Mumbai,IT Managed Services,Pooja Iyer,32,480751649.0,World class implementation team that delivered an innovative solution on time and within budget. Extremely satisfied with every aspect.,5,10,Promoter,No,Yes
FB10076,2023-07-03,Q3-2023,Fortis Healthcare,Healthcare,Pune,AI/ML Implementation,Priya Nair,14,99812782.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,7,Passive,Yes,No
FB10636,2023-08-23,Q3-2023,SkyJet,Aviation,Chennai,Cybersecurity Solutions,Priya Nair,34,31897981.0,Impressed with the technical expertise. Some minor issues arose but were resolved promptly and professionally by the team.,4,2,Detractor,No,Yes
FB10973,2022-05-30,Q2-2022,Mahindra Group,Manufacturing,Delhi NCR,Cloud Migration,Vikram Singh,30,13742366.0,Exceptional project execution from start to finish. The solution implemented has transformed our operations completely. Highly recommended.,5,1,Detractor,No,Yes
FB10938,2023-07-05,Q3-2023,City Bank,Banking & Finance,Pune,AI/ML Implementation,Priya Nair,14,205638605.0,Incredible work by the entire project team. The digital transformation has completely revolutionized our business processes.,5,6,Detractor,Yes,Yes
FB10899,2023-05-17,Q2-2023,Mahindra Group,Manufacturing,Chennai,IoT Solutions,Divya Menon,22,322319117.0,Superb technical expertise and excellent project management. Understood our complex requirements and delivered a perfect solution.,5,6,Detractor,Yes,Yes
FB10280,2023-02-07,Q1-2023,Tech Solutions Ltd,IT & Technology,Kolkata,Network Infrastructure,Vikram Singh,26,61374473.0,Poor project management led to significant delays and budget overruns. Final solution required considerable rework after delivery.,2,9,Promoter,Yes,Yes
FB10883,2023-02-03,Q1-2023,Mahindra Group,Manufacturing,Mumbai,DevOps Implementation,Divya Menon,16,232094086.0,Perfect delivery with zero issues during go live. The team demonstrated world class expertise and professionalism throughout the entire engagement.,5,10,Promoter,Yes,Yes
FB10761,2023-12-09,Q4-2023,Tata Motors,Manufacturing,Bangalore,Database Management,Neha Joshi,28,403297164.0,Very good technical work and project management. A few schedule adjustments were needed but end result was to our satisfaction.,4,2,Detractor,Yes,Yes
FB10319,2023-11-06,Q4-2023,SteelCorp,Manufacturing,Kolkata,IoT Solutions,Rajesh Sharma,22,106695630.0,Dissatisfied with the level of expertise demonstrated. Team could not handle the technical complexity of our requirements well.,2,9,Promoter,Yes,No
FB10549,2023-05-30,Q2-2023,National Bank,Banking & Finance,Delhi NCR,IoT Solutions,Pooja Iyer,33,357449468.0,Project team was professional but delivery took longer than expected. End result is satisfactory though not particularly impressive.,3,2,Detractor,No,No
FB10174,2022-05-28,Q2-2022,OilCorp,Oil & Gas,Delhi NCR,IT Managed Services,Neha Joshi,21,217473252.0,Unacceptable quality and project management. Solution has caused data integrity issues and we have lost significant business value.,1,9,Promoter,Yes,No
FB10371,2023-02-12,Q1-2023,National Bank,Banking & Finance,Bangalore,Application Development,Priya Nair,33,247102922.0,The implementation caused significant issues for our business. Post deployment support has been inadequate and slow to respond.,2,10,Promoter,Yes,No
FB10527,2023-07-18,Q3-2023,ShopEasy,Retail & E-commerce,Chennai,IT Managed Services,Sneha Reddy,19,183204230.0,Okay experience with this vendor. Performance has been average and they meet minimum commitments without going beyond contract.,3,7,Passive,No,No
FB10210,2023-05-28,Q2-2023,Fortis Healthcare,Healthcare,Chennai,Database Management,Rahul Gupta,5,27425159.0,Disappointing experience overall. The solution delivered has performance issues and support team response time is very slow.,2,2,Detractor,Yes,No
FB10235,2023-08-10,Q3-2023,Metro Bank,Banking & Finance,Delhi NCR,IT Managed Services,Rahul Gupta,12,86445893.0,Below par delivery with multiple issues that impacted our business operations. Support response has been slow and inadequate.,2,8,Passive,Yes,No
FB10101,2022-12-06,Q4-2022,Metro Bank,Banking & Finance,Hyderabad,ERP Implementation,Rahul Gupta,9,437724235.0,Total failure in project delivery. System went live with critical bugs causing major business disruption for weeks after go live.,1,7,Passive,Yes,Yes
FB10986,2022-10-02,Q4-2022,Tata Motors,Manufacturing,Pune,Cybersecurity Solutions,Vikram Singh,10,89699003.0,"Exemplary service and delivery. The team was always available, proactive in communication and delivered results beyond our expectations.",5,8,Passive,Yes,Yes
FB10902,2022-05-31,Q2-2022,Reliance Retail,Retail & E-commerce,Pune,Database Management,Pooja Iyer,19,127470327.0,Absolutely outstanding service delivery. The team exceeded every expectation and delivered well ahead of schedule with exceptional quality.,5,0,Detractor,No,Yes
FB10947,2023-12-15,Q4-2023,OilCorp,Oil & Gas,Pune,IoT Solutions,Vikram Singh,15,358650259.0,Best vendor experience we have ever had. Every commitment was met and the quality of work surpassed our requirements significantly.,5,6,Detractor,No,Yes
FB10346,2022-07-22,Q3-2022,AirExpress,Aviation,Mumbai,Digital Transformation,Rajesh Sharma,31,405602839.0,Below par delivery with multiple issues that impacted our business operations. Support response has been slow and inadequate.,2,1,Detractor,Yes,No
FB10139,2023-02-15,Q1-2023,Apollo Hospitals,Healthcare,Pune,ERP Implementation,Neha Joshi,7,75227954.0,Absolutely disgusted with the service received. Solution delivered does not work and team has been unable to fix critical issues.,1,10,Promoter,Yes,Yes
FB10621,2022-05-02,Q2-2022,Metro Bank,Banking & Finance,Chennai,AI/ML Implementation,Rajesh Sharma,16,404516334.0,Very good project delivery with minor delays that were well communicated. The solution is working excellently and support is great.,4,10,Promoter,No,Yes
FB10499,2022-01-27,Q1-2022,National Bank,Banking & Finance,Mumbai,Application Development,Rahul Gupta,28,264371482.0,Okay experience with this vendor. Performance has been average and they meet minimum commitments without going beyond contract.,3,1,Detractor,Yes,No
FB10370,2022-10-29,Q4-2022,Global IT Corp,IT & Technology,Mumbai,Cloud Migration,Arjun Mehta,33,103839026.0,The implementation caused significant issues for our business. Post deployment support has been inadequate and slow to respond.,2,0,Detractor,Yes,Yes
FB10198,2023-10-02,Q4-2023,ShopEasy,Retail & E-commerce,Pune,ERP Implementation,Amit Patel,24,422052352.0,Total failure in project delivery. System went live with critical bugs causing major business disruption for weeks after go live.,1,9,Promoter,Yes,Yes
FB10687,2022-08-08,Q3-2022,RailTickets,Government,Chennai,AI/ML Implementation,Arjun Mehta,35,117639335.0,Highly satisfied with the overall engagement. The team showed strong technical capabilities and delivered a quality solution as promised.,4,5,Detractor,Yes,Yes
FB10584,2023-07-24,Q3-2023,Mahindra Group,Manufacturing,Bangalore,IoT Solutions,Priya Nair,7,397253315.0,Satisfactory project delivery. The solution is functional and meets basic requirements though there is room for optimization.,3,6,Detractor,No,No
FB10901,2022-09-10,Q3-2022,PowerGen,Energy & Utilities,Chennai,Cloud Migration,Arjun Mehta,18,241474151.0,"Exemplary service and delivery. The team was always available, proactive in communication and delivered results beyond our expectations.",5,10,Promoter,No,Yes
FB10059,2023-05-15,Q2-2023,GridTech,Energy & Utilities,Delhi NCR,IT Managed Services,Neha Joshi,17,140102979.0,Unacceptable quality and project management. Solution has caused data integrity issues and we have lost significant business value.,1,7,Passive,Yes,Yes
FB10328,2022-10-03,Q4-2022,Apollo Hospitals,Healthcare,Pune,AI/ML Implementation,Amit Patel,10,386857994.0,Dissatisfied with the level of expertise demonstrated. Team could not handle the technical complexity of our requirements well.,2,0,Detractor,Yes,No
FB10096,2022-10-26,Q4-2022,RailTickets,Government,Pune,ERP Implementation,Pooja Iyer,35,354178757.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,6,Detractor,Yes,No
FB10312,2023-01-16,Q1-2023,OilCorp,Oil & Gas,Mumbai,AI/ML Implementation,Vikram Singh,13,30634701.0,Unsatisfactory project execution. Several critical requirements were not met and team struggled with basic technical challenges.,2,10,Promoter,Yes,No
FB10974,2023-10-11,Q4-2023,Bajaj Finance,Banking & Finance,Pune,IT Managed Services,Vikram Singh,17,114778742.0,Absolutely outstanding service delivery. The team exceeded every expectation and delivered well ahead of schedule with exceptional quality.,5,7,Passive,No,Yes
FB10299,2022-08-14,Q3-2022,Apollo Hospitals,Healthcare,Mumbai,Digital Transformation,Neha Joshi,21,21184068.0,Poor project management led to significant delays and budget overruns. Final solution required considerable rework after delivery.,2,3,Detractor,Yes,No
FB10277,2023-09-24,Q3-2023,GridTech,Energy & Utilities,Hyderabad,DevOps Implementation,Pooja Iyer,15,231641508.0,Unsatisfactory project execution. Several critical requirements were not met and team struggled with basic technical challenges.,2,2,Detractor,Yes,No
FB10924,2023-01-09,Q1-2023,NationalAir,Aviation,Bangalore,Network Infrastructure,Arjun Mehta,11,262276934.0,Absolutely outstanding service delivery. The team exceeded every expectation and delivered well ahead of schedule with exceptional quality.,5,1,Detractor,No,Yes
FB10601,2023-12-19,Q4-2023,Finance Ministry,Government,Kolkata,ERP Implementation,Vikram Singh,18,245034664.0,Good collaboration and project management. The solution delivered is robust and team provided excellent knowledge transfer.,4,5,Detractor,Yes,Yes
FB10439,2022-12-24,Q4-2022,NetCom,Telecom,Mumbai,IT Managed Services,Arjun Mehta,17,442281386.0,Acceptable delivery overall. We have concerns about long term support but immediate project objectives were adequately met.,3,5,Detractor,No,No
FB10837,2023-12-10,Q4-2023,Tech Solutions Ltd,IT & Technology,Pune,Cybersecurity Solutions,Pooja Iyer,32,301882340.0,Best vendor experience we have ever had. Every commitment was met and the quality of work surpassed our requirements significantly.,5,9,Promoter,No,Yes
FB10570,2023-10-05,Q4-2023,OilCorp,Oil & Gas,Delhi NCR,ERP Implementation,Pooja Iyer,32,446568872.0,Decent technical work but project management needs significant improvement. Deliverables met basic standards nothing extraordinary.,3,7,Passive,No,No
FB10879,2023-01-22,Q1-2023,Metro Bank,Banking & Finance,Mumbai,Database Management,Rajesh Sharma,15,464766173.0,Remarkable results delivered by a highly skilled team. Business outcomes have exceeded all targets we had set for this project.,5,3,Detractor,No,Yes
FB10261,2022-07-03,Q3-2022,GlobalPhone,Telecom,Kolkata,IoT Solutions,Arjun Mehta,9,459434178.0,Unsatisfactory project execution. Several critical requirements were not met and team struggled with basic technical challenges.,2,8,Passive,Yes,Yes
FB10578,2022-04-28,Q2-2022,Reliance Retail,Retail & E-commerce,Bangalore,ERP Implementation,Amit Patel,3,479357537.0,Satisfactory project delivery. The solution is functional and meets basic requirements though there is room for optimization.,3,3,Detractor,Yes,No
FB10023,2022-04-22,Q2-2022,Mahindra Group,Manufacturing,Kolkata,IoT Solutions,Divya Menon,18,99837086.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,8,Passive,Yes,No
FB10030,2022-11-20,Q4-2022,FuelTech,Oil & Gas,Hyderabad,Database Management,Neha Joshi,19,106108304.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,5,Detractor,Yes,Yes
FB10617,2022-02-26,Q1-2022,Tech Solutions Ltd,IT & Technology,Chennai,DevOps Implementation,Vikram Singh,8,185850904.0,Very good technical work and project management. A few schedule adjustments were needed but end result was to our satisfaction.,4,1,Detractor,No,Yes
FB10010,2023-08-21,Q3-2023,Reliance Retail,Retail & E-commerce,Chennai,IoT Solutions,Neha Joshi,28,184188240.0,Unacceptable quality and project management. Solution has caused data integrity issues and we have lost significant business value.,1,2,Detractor,Yes,No
FB10221,2023-11-03,Q4-2023,PowerGen,Energy & Utilities,Chennai,Digital Transformation,Divya Menon,19,374932557.0,Disappointed with the project delivery. Multiple deadlines were missed and quality of deliverables was below agreed standards.,2,3,Detractor,Yes,Yes
FB10820,2023-12-25,Q4-2023,Metro Bank,Banking & Finance,Pune,Data Analytics Platform,Pooja Iyer,16,8532023.0,"Exemplary service and delivery. The team was always available, proactive in communication and delivered results beyond our expectations.",5,1,Detractor,No,Yes
FB10296,2023-01-28,Q1-2023,Bajaj Finance,Banking & Finance,Hyderabad,Database Management,Amit Patel,30,96948081.0,The implementation caused significant issues for our business. Post deployment support has been inadequate and slow to respond.,2,10,Promoter,Yes,No
FB10054,2023-05-02,Q2-2023,RailTickets,Government,Delhi NCR,IT Managed Services,Pooja Iyer,31,133299816.0,Unacceptable quality and project management. Solution has caused data integrity issues and we have lost significant business value.,1,3,Detractor,Yes,No
FB10542,2023-12-31,Q4-2023,Fortis Healthcare,Healthcare,Hyderabad,IT Managed Services,Pooja Iyer,4,24677440.0,Neither impressed nor disappointed. Project delivered with some compromise on scope and timeline. Results within acceptable range.,3,5,Detractor,No,No
FB10209,2022-05-12,Q2-2022,RailTickets,Government,Mumbai,Database Management,Neha Joshi,9,199982338.0,Dissatisfied with the level of expertise demonstrated. Team could not handle the technical complexity of our requirements well.,2,5,Detractor,Yes,No
FB10604,2023-06-30,Q2-2023,Mahindra Group,Manufacturing,Chennai,Application Development,Vikram Singh,17,193001393.0,Good experience working with this vendor. The project was delivered on time and solution meets all our business requirements.,4,7,Passive,No,Yes
FB10692,2022-07-23,Q3-2022,GridTech,Energy & Utilities,Bangalore,ERP Implementation,Priya Nair,24,104130431.0,Very good technical work and project management. A few schedule adjustments were needed but end result was to our satisfaction.,4,1,Detractor,No,Yes
FB10662,2023-07-19,Q3-2023,SkyJet,Aviation,Pune,Cloud Migration,Amit Patel,10,157500689.0,Highly satisfied with the overall engagement. The team showed strong technical capabilities and delivered a quality solution as promised.,4,9,Promoter,No,Yes
FB10866,2022-04-24,Q2-2022,Tech Solutions Ltd,IT & Technology,Delhi NCR,Network Infrastructure,Arjun Mehta,11,270544245.0,Absolutely outstanding service delivery. The team exceeded every expectation and delivered well ahead of schedule with exceptional quality.,5,1,Detractor,No,Yes
FB10070,2023-03-23,Q1-2023,Finance Ministry,Government,Chennai,IT Managed Services,Pooja Iyer,20,164540769.0,Terrible experience from start to finish. The team lacked basic technical knowledge and project outcome was a complete disaster.,1,3,Detractor,Yes,Yes
FB10543,2023-10-03,Q4-2023,Global IT Corp,IT & Technology,Bangalore,DevOps Implementation,Divya Menon,22,121921359.0,Okay experience with this vendor. Performance has been average and they meet minimum commitments without going beyond contract.,3,0,Detractor,No,No
FB10107,2023-12-01,Q4-2023,National Bank,Banking & Finance,Hyderabad,Database Management,Arjun Mehta,18,251345290.0,Total failure in project delivery. System went live with critical bugs causing major business disruption for weeks after go live.,1,9,Promoter,Yes,Yes
FB10493,2022-08-09,Q3-2022,City Bank,Banking & Finance,Mumbai,IoT Solutions,Amit Patel,19,240887015.0,Completed the engagement as agreed but communication could have been more proactive throughout the project lifecycle.,3,7,Passive,Yes,No
FB10590,2023-01-03,Q1-2023,Alpha Bank,Banking & Finance,Kolkata,IoT Solutions,Rahul Gupta,10,431317681.0,The project was completed as per scope but there were notable delays. Technical quality was acceptable though not exceptional.,3,3,Detractor,Yes,No
FB10741,2022-09-27,Q3-2022,GridTech,Energy & Utilities,Bangalore,AI/ML Implementation,Arjun Mehta,19,260901479.0,Good collaboration and project management. The solution delivered is robust and team provided excellent knowledge transfer.,4,2,Detractor,No,Yes
FB10292,2022-10-13,Q4-2022,Mahindra Group,Manufacturing,Delhi NCR,Cloud Migration,Sneha Reddy,7,290787213.0,Poor project management led to significant delays and budget overruns. Final solution required considerable rework after delivery.,2,8,Passive,Yes,Yes
FB10289,2023-12-29,Q4-2023,Tech Solutions Ltd,IT & Technology,Mumbai,Digital Transformation,Vikram Singh,10,16179632.0,Poor project management led to significant delays and budget overruns. Final solution required considerable rework after delivery.,2,5,Detractor,Yes,No
FB10652,2023-02-05,Q1-2023,SkyJet,Aviation,Mumbai,Application Development,Priya Nair,14,147744480.0,Highly satisfied with the overall engagement. The team showed strong technical capabilities and delivered a quality solution as promised.,4,1,Detractor,Yes,Yes
FB10039,2022-06-08,Q2-2022,SteelCorp,Manufacturing,Hyderabad,IT Managed Services,Arjun Mehta,18,432979820.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,2,Detractor,Yes,No
FB10589,2023-08-20,Q3-2023,AirExpress,Aviation,Mumbai,Network Infrastructure,Divya Menon,3,307687924.0,Satisfactory project delivery. The solution is functional and meets basic requirements though there is room for optimization.,3,2,Detractor,No,No
FB10307,2022-04-06,Q2-2022,Mahindra Group,Manufacturing,Pune,Application Development,Priya Nair,28,260228669.0,Unsatisfactory project execution. Several critical requirements were not met and team struggled with basic technical challenges.,2,4,Detractor,Yes,No
FB10679,2022-12-23,Q4-2022,City Bank,Banking & Finance,Chennai,ERP Implementation,Rajesh Sharma,22,347070098.0,Good collaboration and project management. The solution delivered is robust and team provided excellent knowledge transfer.,4,7,Passive,No,Yes
FB10066,2023-11-25,Q4-2023,ShopEasy,Retail & E-commerce,Hyderabad,Cloud Migration,Vikram Singh,27,201343949.0,Terrible experience from start to finish. The team lacked basic technical knowledge and project outcome was a complete disaster.,1,3,Detractor,Yes,Yes
FB10275,2023-01-25,Q1-2023,ShopEasy,Retail & E-commerce,Pune,IT Managed Services,Amit Patel,13,73725829.0,Dissatisfied with the level of expertise demonstrated. Team could not handle the technical complexity of our requirements well.,2,4,Detractor,Yes,No
FB10067,2023-12-15,Q4-2023,RailTickets,Government,Mumbai,DevOps Implementation,Sneha Reddy,22,425895153.0,Deeply dissatisfied with every aspect of this engagement. This has been the worst technology investment our company has ever made.,1,9,Promoter,Yes,Yes
FB10318,2022-05-24,Q2-2022,Global IT Corp,IT & Technology,Kolkata,Network Infrastructure,Divya Menon,18,142098990.0,Below par delivery with multiple issues that impacted our business operations. Support response has been slow and inadequate.,2,1,Detractor,Yes,Yes
FB10548,2023-09-19,Q3-2023,City Bank,Banking & Finance,Mumbai,ERP Implementation,Amit Patel,20,304774233.0,Completed the engagement as agreed but communication could have been more proactive throughout the project lifecycle.,3,9,Promoter,No,Yes
FB10998,2023-07-11,Q3-2023,TeleConnect,Telecom,Mumbai,ERP Implementation,Sneha Reddy,20,315605497.0,Remarkable results delivered by a highly skilled team. Business outcomes have exceeded all targets we had set for this project.,5,0,Detractor,Yes,Yes
FB10714,2022-10-21,Q4-2022,NationalAir,Aviation,Kolkata,Network Infrastructure,Vikram Singh,13,131941084.0,Highly satisfied with the overall engagement. The team showed strong technical capabilities and delivered a quality solution as promised.,4,6,Detractor,No,Yes
FB10753,2022-02-11,Q1-2022,Bajaj Finance,Banking & Finance,Mumbai,DevOps Implementation,Arjun Mehta,35,174163699.0,Very good technical work and project management. A few schedule adjustments were needed but end result was to our satisfaction.,4,10,Promoter,No,Yes
FB10327,2022-01-12,Q1-2022,Alpha Bank,Banking & Finance,Pune,IoT Solutions,Amit Patel,13,250724402.0,The implementation caused significant issues for our business. Post deployment support has been inadequate and slow to respond.,2,5,Detractor,Yes,No
FB10382,2022-01-21,Q1-2022,GridTech,Energy & Utilities,Bangalore,Application Development,Vikram Singh,24,409606033.0,Below expectations on multiple fronts. SLA breaches occurred frequently and escalations took too long to get properly addressed.,2,4,Detractor,Yes,No
FB10451,2022-12-05,Q4-2022,Fortis Healthcare,Healthcare,Chennai,IoT Solutions,Neha Joshi,25,68466498.0,Average experience with this vendor. The solution works adequately but does not fully meet all requirements specified during scoping.,3,1,Detractor,No,No
FB10522,2022-03-23,Q1-2022,AirExpress,Aviation,Kolkata,Cybersecurity Solutions,Pooja Iyer,32,401504875.0,Project team was professional but delivery took longer than expected. End result is satisfactory though not particularly impressive.,3,5,Detractor,Yes,No
FB10218,2023-05-11,Q2-2023,FuelTech,Oil & Gas,Hyderabad,IoT Solutions,Vikram Singh,15,478882011.0,Disappointing experience overall. The solution delivered has performance issues and support team response time is very slow.,2,4,Detractor,Yes,No
FB10787,2023-10-05,Q4-2023,GridTech,Energy & Utilities,Bangalore,Cloud Migration,Divya Menon,35,180464306.0,Satisfied with the engagement overall. The team showed dedication and the final solution is working well for our requirements.,4,10,Promoter,Yes,Yes
FB10436,2022-03-18,Q1-2022,Tata Motors,Manufacturing,Pune,Application Development,Amit Patel,14,481425248.0,Neither impressed nor disappointed. Project delivered with some compromise on scope and timeline. Results within acceptable range.,3,6,Detractor,Yes,Yes
FB10764,2023-12-21,Q4-2023,City Bank,Banking & Finance,Pune,ERP Implementation,Amit Patel,31,482114101.0,Pleased with the overall project execution. The team was professional and deliverables met the agreed quality standards consistently.,4,0,Detractor,No,Yes
FB10088,2022-09-14,Q3-2022,Metro Bank,Banking & Finance,Hyderabad,Network Infrastructure,Divya Menon,4,50206809.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,10,Promoter,Yes,No
FB10063,2023-07-07,Q3-2023,RailTickets,Government,Mumbai,Digital Transformation,Pooja Iyer,6,499954375.0,Catastrophic project delivery that has severely impacted our business. We are pursuing contract penalties due to magnitude of failures.,1,5,Detractor,Yes,Yes
FB10826,2022-09-13,Q3-2022,GridTech,Energy & Utilities,Mumbai,Cybersecurity Solutions,Arjun Mehta,15,86418380.0,Incredible work by the entire project team. The digital transformation has completely revolutionized our business processes.,5,1,Detractor,No,Yes
FB10716,2022-09-22,Q3-2022,Apollo Hospitals,Healthcare,Mumbai,Data Analytics Platform,Amit Patel,20,331042003.0,Very good project delivery with minor delays that were well communicated. The solution is working excellently and support is great.,4,10,Promoter,No,Yes
FB10351,2023-02-02,Q1-2023,Global IT Corp,IT & Technology,Bangalore,Database Management,Rahul Gupta,20,94008857.0,Dissatisfied with the level of expertise demonstrated. Team could not handle the technical complexity of our requirements well.,2,5,Detractor,Yes,No
FB10936,2022-05-05,Q2-2022,Alpha Bank,Banking & Finance,Mumbai,Digital Transformation,Priya Nair,34,322497617.0,"Exemplary service and delivery. The team was always available, proactive in communication and delivered results beyond our expectations.",5,0,Detractor,No,Yes
FB10256,2023-11-02,Q4-2023,ShopEasy,Retail & E-commerce,Hyderabad,Cybersecurity Solutions,Pooja Iyer,24,132376745.0,Below expectations on multiple fronts. SLA breaches occurred frequently and escalations took too long to get properly addressed.,2,7,Passive,Yes,No
FB10635,2022-04-23,Q2-2022,Bajaj Finance,Banking & Finance,Delhi NCR,Cybersecurity Solutions,Divya Menon,23,117752122.0,Very good technical work and project management. A few schedule adjustments were needed but end result was to our satisfaction.,4,6,Detractor,No,Yes
FB10644,2023-12-22,Q4-2023,TeleConnect,Telecom,Delhi NCR,DevOps Implementation,Vikram Singh,32,429671445.0,Highly satisfied with the overall engagement. The team showed strong technical capabilities and delivered a quality solution as promised.,4,7,Passive,Yes,Yes
FB10554,2023-03-09,Q1-2023,SteelCorp,Manufacturing,Delhi NCR,Data Analytics Platform,Pooja Iyer,21,308501468.0,Decent technical work but project management needs significant improvement. Deliverables met basic standards nothing extraordinary.,3,8,Passive,Yes,Yes
FB10959,2022-05-17,Q2-2022,Apollo Hospitals,Healthcare,Kolkata,Digital Transformation,Divya Menon,35,179879309.0,World class implementation team that delivered an innovative solution on time and within budget. Extremely satisfied with every aspect.,5,6,Detractor,Yes,Yes
FB10168,2022-03-27,Q1-2022,NationalAir,Aviation,Bangalore,IT Managed Services,Priya Nair,13,140031693.0,Worst vendor experience we have encountered. Every commitment was broken and the delivered solution is completely non functional.,1,8,Passive,Yes,Yes
FB10917,2022-05-27,Q2-2022,Tata Motors,Manufacturing,Pune,Database Management,Sneha Reddy,36,438735833.0,Exceptional project execution from start to finish. The solution implemented has transformed our operations completely. Highly recommended.,5,2,Detractor,Yes,Yes
FB10528,2022-11-06,Q4-2022,PayFast,Fintech,Delhi NCR,Cloud Migration,Rahul Gupta,3,153665311.0,The project was completed as per scope but there were notable delays. Technical quality was acceptable though not exceptional.,3,3,Detractor,No,No
FB10823,2023-03-14,Q1-2023,FuelTech,Oil & Gas,Mumbai,IT Managed Services,Pooja Iyer,6,427660607.0,World class implementation team that delivered an innovative solution on time and within budget. Extremely satisfied with every aspect.,5,6,Detractor,No,Yes
FB10985,2022-01-04,Q1-2022,PayFast,Fintech,Delhi NCR,Data Analytics Platform,Sneha Reddy,13,288089499.0,Superb technical expertise and excellent project management. Understood our complex requirements and delivered a perfect solution.,5,8,Passive,Yes,Yes
FB10816,2023-11-20,Q4-2023,PayFast,Fintech,Mumbai,Application Development,Rajesh Sharma,14,209515701.0,Perfect delivery with zero issues during go live. The team demonstrated world class expertise and professionalism throughout the entire engagement.,5,6,Detractor,No,Yes
FB10086,2022-06-19,Q2-2022,RailTickets,Government,Mumbai,ERP Implementation,Priya Nair,22,299546798.0,Total failure in project delivery. System went live with critical bugs causing major business disruption for weeks after go live.,1,9,Promoter,Yes,No
FB10432,2022-02-27,Q1-2022,Mahindra Group,Manufacturing,Pune,ERP Implementation,Rajesh Sharma,15,137154243.0,Acceptable delivery overall. We have concerns about long term support but immediate project objectives were adequately met.,3,4,Detractor,No,No
FB10184,2023-12-08,Q4-2023,National Insurance,Insurance,Delhi NCR,Database Management,Arjun Mehta,31,179015757.0,Terrible experience from start to finish. The team lacked basic technical knowledge and project outcome was a complete disaster.,1,0,Detractor,Yes,No
FB10978,2023-07-20,Q3-2023,City Bank,Banking & Finance,Pune,DevOps Implementation,Rajesh Sharma,11,168949808.0,Remarkable results delivered by a highly skilled team. Business outcomes have exceeded all targets we had set for this project.,5,9,Promoter,No,Yes
FB10534,2023-12-16,Q4-2023,National Bank,Banking & Finance,Chennai,Network Infrastructure,Rahul Gupta,11,382206295.0,The project was completed as per scope but there were notable delays. Technical quality was acceptable though not exceptional.,3,8,Passive,No,Yes
